Number,Name,Type 1,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Height,Weight,BMI
106,Hitmonlee,Fighting,"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87,455,75.83333333333330,31.88216150486390,1.0,Medium Fast,1000000,1.0,45,0.0,1.5,49.8,22.1
107,Hitmonchan,Fighting,"['Inner Focus', 'Iron Fist', 'Keen Eye']",50,105,79,35,110,76,455,75.83333333333330,26.965512954306800,1.0,Medium Fast,1000000,1.0,45,0.0,1.4,50.2,25.6
108,Lickitung,Normal,"['Cloud Nine', 'Oblivious', 'Own Tempo']",90,55,75,60,75,30,385,64.16666666666670,19.02118701752220,1.0,Medium Fast,1000000,0.0,45,0.0,1.2,65.5,45.5
109,Koffing,Poison,"['Levitate', 'Neutralizing Gas', 'Stench']",40,65,95,60,45,35,340,56.66666666666670,20.13840995599100,1.0,Medium Fast,1000000,0.0,190,0.0,0.6,1.0,2.8
110,Weezing,Poison,"['Levitate', 'Neutralizing Gas', 'Stench']",65,90,120,85,70,60,490,81.66666666666670,20.13840995599100,1.0,Medium Fast,1000000,1.0,60,0.0,1.2,9.5,6.6
110,Galarian Weezing,Poison,"['Levitate', 'Misty Surge', 'Neutralizing Gas']",65,90,120,85,70,60,490,81.66666666666670,20.13840995599100,8.0,Medium Fast,1000000,1.0,60,0.0,3.0,16.0,1.8
111,Rhyhorn,Ground,"['Lightning Rod', 'Reckless', 'Rock Head']",80,85,95,30,30,25,345,57.5,29.5451631687264,1.0,Slow,1250000,0.0,120,0.0,1.0,115.0,115.0
112,Rhydon,Ground,"['Lightning Rod', 'Reckless', 'Rock Head']",105,130,120,45,45,40,485,80.83333333333330,38.23356582318150,1.0,Slow,1250000,0.0,60,0.0,1.9,120.0,33.2
113,Chansey,Normal,"['Healer', 'Natural Cure', 'Serene Grace']",250,5,5,35,105,50,450,75.0,85.19585279421370,1.0,Fast,800000,0.0,30,0.0,1.1,34.6,28.6
114,Tangela,Grass,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,55,115,100,40,60,435,72.5,26.25991876098120,1.0,Medium Fast,1000000,0.0,45,0.0,1.0,35.0,35.0
115,Kangaskhan,Normal,"['Early Bird', 'Inner Focus', 'Scrappy']",105,95,80,40,80,90,490,81.66666666666670,20.548046676563300,1.0,Medium Fast,1000000,1.0,45,0.0,2.2,80.0,16.5
115,Mega Kangaskhan,Normal,['Parental Bond'],105,125,100,60,100,100,590,98.33333333333330,19.29306150465040,6.0,Medium Fast,1000000,1.0,45,0.0,2.2,100.0,20.7
116,Horsea,Water,"['Damp', 'Sniper', 'Swift Swim']",30,40,70,70,25,60,295,49.16666666666670,18.35226295462100,1.0,Medium Fast,1000000,0.0,225,0.0,0.4,8.0,50.0
117,Seadra,Water,"['Damp', 'Poison Point', 'Sniper']",55,65,95,95,45,85,440,73.33333333333330,19.507833184532700,1.0,Medium Fast,1000000,0.0,75,0.0,1.2,25.0,17.4
118,Goldeen,Water,"['Lightning Rod', 'Swift Swim', 'Water Veil']",45,67,60,35,50,63,320,53.333333333333300,11.115554667022000,1.0,Medium Fast,1000000,0.0,225,0.0,0.6,15.0,41.7
119,Seaking,Water,"['Lightning Rod', 'Swift Swim', 'Water Veil']",80,92,65,65,80,68,450,75.0,9.899494936611660,1.0,Medium Fast,1000000,1.0,60,0.0,1.3,39.0,23.1
120,Staryu,Water,"['Analytic', 'Illuminate', 'Natural Cure']",30,45,55,70,55,85,340,56.66666666666670,17.480147469502500,1.0,Slow,1250000,0.0,225,0.0,0.8,34.5,53.9
121,Starmie,Water,"['Analytic', 'Illuminate', 'Natural Cure']",60,75,85,100,85,115,520,86.66666666666670,17.480147469502500,1.0,Slow,1250000,1.0,60,0.0,1.1,80.0,66.1
122,Mr. Mime,Psychic,"['Filter', 'Soundproof', 'Technician']",40,45,65,100,120,90,460,76.66666666666670,29.1070819942883,1.0,Medium Fast,1000000,1.0,45,0.0,1.3,54.5,32.2
122,Galarian Mr. Mime,Ice,"['Ice Body', 'Screen Cleaner', 'Vital Spirit']",50,65,65,90,90,100,460,76.66666666666670,17.716909687891100,8.0,Medium Fast,1000000,0.0,45,0.0,1.4,56.8,29.0
123,Scyther,Bug,"['Steadfast', 'Swarm', 'Technician']",70,110,80,55,80,105,500,83.33333333333330,19.075871903766,1.0,Medium Fast,1000000,0.0,45,0.0,1.5,56.0,24.9
124,Jynx,Ice,"['Dry Skin', 'Forewarn', 'Oblivious']",65,50,35,115,95,95,455,75.83333333333330,28.050054466178100,1.0,Medium Fast,1000000,1.0,45,0.0,1.4,40.6,20.7
125,Electabuzz,Electric,"['Static', 'Vital Spirit']",65,83,57,95,85,105,490,81.66666666666670,16.438437341250600,1.0,Medium Fast,1000000,0.0,45,0.0,1.1,30.0,24.8
126,Magmar,Fire,"['Flame Body', 'Vital Spirit']",65,95,57,100,85,93,495,82.5,15.997395621371200,1.0,Medium Fast,1000000,0.0,45,0.0,1.3,44.5,26.3
127,Pinsir,Bug,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",65,125,100,55,70,85,500,83.33333333333330,23.570226039551600,1.0,Slow,1250000,1.0,45,0.0,1.5,55.0,24.4
127,Mega Pinsir,Bug,['Aerilate'],65,155,120,65,90,105,600,100.0,31.6227766016838,6.0,Slow,1250000,1.0,45,0.0,1.7,59.0,20.4
128,Tauros,Normal,"['Anger Point', 'Intimidate', 'Sheer Force']",75,100,95,40,70,110,490,81.66666666666670,23.21398046197350,1.0,Slow,1250000,1.0,45,0.0,1.4,88.4,45.1
129,Magikarp,Water,"['Rattled', 'Swift Swim']",20,10,55,15,20,80,200,33.333333333333300,25.440562537456200,1.0,Slow,1250000,0.0,255,0.0,0.9,10.0,12.3
130,Gyarados,Water,"['Intimidate', 'Moxie']",95,125,79,60,100,81,540,90.0,20.21550560007510,1.0,Slow,1250000,1.0,45,0.0,6.5,235.0,5.6
130,Mega Gyarados,Water,['Mold Breaker'],95,155,109,70,130,81,640,106.66666666666700,28.940552094864300,6.0,Slow,1250000,1.0,45,0.0,6.5,305.0,7.2
131,Lapras,Water,"['Hydration', 'Shell Armor', 'Water Absorb']",130,85,80,85,95,60,535,89.16666666666670,21.09831483528690,1.0,Slow,1250000,1.0,45,0.0,2.5,220.0,35.2
132,Ditto,Normal,"['Imposter', 'Limber']",48,48,48,48,48,48,288,48.0,0.0,1.0,Medium Fast,1000000,1.0,35,0.0,0.3,4.0,44.4
133,Eevee,Normal,"['Adaptability', 'Anticipation', 'Run Away']",55,55,50,45,65,55,325,54.16666666666670,6.066758241067100,1.0,Medium Fast,1000000,0.0,45,0.0,0.3,6.5,72.2
134,Vaporeon,Water,"['Hydration', 'Water Absorb']",130,65,60,110,95,65,525,87.5,26.25991876098120,1.0,Medium Fast,1000000,1.0,45,0.0,1.0,29.0,29.0
135,Jolteon,Electric,"['Quick Feet', 'Volt Absorb']",65,65,60,110,95,130,525,87.5,26.25991876098120,1.0,Medium Fast,1000000,1.0,45,0.0,0.8,24.5,38.3
136,Flareon,Fire,"['Flash Fire', 'Guts']",65,130,60,95,110,65,525,87.5,26.25991876098120,1.0,Medium Fast,1000000,1.0,45,0.0,0.9,25.0,30.9
137,Porygon,Normal,"['Analytic', 'Download', 'Trace']",65,60,70,85,75,40,395,65.83333333333330,13.969212178533500,1.0,Medium Fast,1000000,0.0,45,0.0,0.8,36.5,57.0
138,Omanyte,Rock,"['Shell Armor', 'Swift Swim', 'Weak Armor']",35,40,100,90,55,35,355,59.16666666666670,26.36548669926060,1.0,Medium Fast,1000000,0.0,45,0.0,0.4,7.5,46.9
139,Omastar,Rock,"['Shell Armor', 'Swift Swim', 'Weak Armor']",70,60,125,115,70,55,495,82.5,27.195281453467900,1.0,Medium Fast,1000000,1.0,45,0.0,1.0,35.0,35.0
140,Kabuto,Rock,"['Battle Armor', 'Swift Swim', 'Weak Armor']",30,80,90,55,45,55,355,59.16666666666670,20.29299276980990,1.0,Medium Fast,1000000,0.0,45,0.0,0.5,11.5,46.0
141,Kabutops,Rock,"['Battle Armor', 'Swift Swim', 'Weak Armor']",60,115,105,65,70,80,495,82.5,20.56493779875510,1.0,Medium Fast,1000000,1.0,45,0.0,1.3,40.5,24.0
142,Aerodactyl,Rock,"['Pressure', 'Rock Head', 'Unnerve']",80,105,65,60,75,130,515,85.83333333333330,24.395468613840700,1.0,Slow,1250000,1.0,45,0.0,1.8,59.0,18.2
142,Mega Aerodactyl,Rock,['Tough Claws'],80,135,85,70,95,150,615,102.5,29.5451631687264,6.0,Slow,1250000,1.0,45,0.0,2.1,79.0,17.9
143,Snorlax,Normal,"['Gluttony', 'Immunity', 'Thick Fat']",160,110,65,65,110,30,540,90.0,41.93248541803040,1.0,Slow,1250000,1.0,25,0.0,2.1,460.0,104.3
144,Articuno,Ice,"['Pressure', 'Snow Cloak']",90,85,100,95,125,85,580,96.66666666666670,13.743685418725500,1.0,Slow,1250000,1.0,3,1.0,1.7,55.4,19.2
144,Galarian Articuno,Psychic,['Competitive'],90,85,85,125,100,95,580,96.66666666666670,13.743685418725500,8.0,Slow,1250000,1.0,3,1.0,1.7,50.9,17.6
145,Zapdos,Electric,"['Pressure', 'Static']",90,90,85,125,90,100,580,96.66666666666670,13.437096247164200,1.0,Slow,1250000,1.0,3,1.0,1.6,52.6,20.5
145,Galarian Zapdos,Fighting,['Defiant'],90,125,90,85,90,100,580,96.66666666666670,13.437096247164200,8.0,Slow,1250000,1.0,3,1.0,1.6,58.2,22.7
146,Moltres,Fire,"['Flame Body', 'Pressure']",90,100,90,125,85,90,580,96.66666666666670,13.437096247164200,1.0,Slow,1250000,1.0,3,1.0,2.0,60.0,15.0
146,Galarian Moltres,Dark,['Berserk'],90,85,90,100,125,90,580,96.66666666666670,13.437096247164200,8.0,Slow,1250000,1.0,3,1.0,2.0,66.0,16.5
147,Dratini,Dragon,"['Marvel Scale', 'Shed Skin']",41,64,45,50,50,50,300,50.0,7.094598884597590,1.0,Slow,1250000,0.0,45,0.0,1.8,3.3,1.0
148,Dragonair,Dragon,"['Marvel Scale', 'Shed Skin']",61,84,65,70,70,70,420,70.0,7.094598884597590,1.0,Slow,1250000,0.0,45,0.0,4.0,16.5,1.0
149,Dragonite,Dragon,"['Inner Focus', 'Multiscale']",91,134,95,100,100,80,600,100.0,16.64331697709320,1.0,Slow,1250000,1.0,45,0.0,2.2,210.0,43.4
150,Mewtwo,Psychic,"['Pressure', 'Unnerve']",106,110,90,154,90,130,680,113.33333333333300,22.6764684689266,1.0,Slow,1250000,1.0,3,1.0,2.0,122.0,30.5
150,Mega Mewtwo Y,Psychic,['Insomnia'],106,150,70,194,120,140,780,130.0,38.453435043786000,6.0,Slow,1250000,1.0,3,1.0,1.5,33.0,14.7
150,Mega Mewtwo X,Psychic,['Steadfast'],106,190,100,154,100,130,780,130.0,33.04542328371660,6.0,Slow,1250000,1.0,3,1.0,2.3,127.0,24.0
151,Mew,Psychic,['Synchronize'],100,100,100,100,100,100,600,100.0,0.0,1.0,Medium Slow,1059860,1.0,45,1.0,0.4,4.0,25.0
152,Chikorita,Grass,"['Leaf Guard', 'Overgrow']",45,49,65,49,65,45,318,53.0,8.640987597877150,2.0,Medium Slow,1059860,0.0,45,0.0,0.9,6.4,7.9
153,Bayleef,Grass,"['Leaf Guard', 'Overgrow']",60,62,80,63,80,60,405,67.5,8.902246907382430,2.0,Medium Slow,1059860,0.0,45,0.0,1.2,15.8,11.0
154,Meganium,Grass,"['Leaf Guard', 'Overgrow']",80,82,100,83,100,80,525,87.5,8.902246907382430,2.0,Medium Slow,1059860,1.0,45,0.0,1.8,100.5,31.0
155,Cyndaquil,Fire,"['Blaze', 'Flash Fire']",39,52,43,60,50,65,309,51.5,8.995369179009090,2.0,Medium Slow,1059860,0.0,45,0.0,0.5,7.9,31.6
156,Quilava,Fire,"['Blaze', 'Flash Fire']",58,64,58,80,65,80,405,67.5,9.233092656309690,2.0,Medium Slow,1059860,0.0,45,0.0,0.9,19.0,23.5
157,Typhlosion,Fire,"['Blaze', 'Flash Fire']",78,84,78,109,85,100,534,89.0,11.575836902790200,2.0,Medium Slow,1059860,1.0,45,0.0,1.7,79.5,27.5
158,Totodile,Water,"['Sheer Force', 'Torrent']",50,65,64,44,48,43,314,52.333333333333300,8.919392106839770,2.0,Medium Slow,1059860,0.0,45,0.0,0.6,9.5,26.4
159,Croconaw,Water,"['Sheer Force', 'Torrent']",65,80,80,59,63,58,405,67.5,9.142392101268320,2.0,Medium Slow,1059860,0.0,45,0.0,1.1,25.0,20.7
160,Feraligatr,Water,"['Sheer Force', 'Torrent']",85,105,100,79,83,78,530,88.33333333333330,10.386957633921900,2.0,Medium Slow,1059860,1.0,45,0.0,2.3,88.8,16.8
161,Sentret,Normal,"['Frisk', 'Keen Eye', 'Run Away']",35,46,34,35,45,20,215,35.833333333333300,8.591015979239920,2.0,Medium Fast,1000000,0.0,255,0.0,0.8,6.0,9.4
162,Furret,Normal,"['Frisk', 'Keen Eye', 'Run Away']",85,76,64,45,55,90,415,69.16666666666670,16.035550782211700,2.0,Medium Fast,1000000,1.0,90,0.0,1.8,32.5,10.0
163,Hoothoot,Normal,"['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50,262,43.66666666666670,12.188336865854800,2.0,Medium Fast,1000000,0.0,255,0.0,0.7,21.2,43.3
164,Noctowl,Normal,"['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,86,96,70,452,75.33333333333330,20.253943374617700,2.0,Medium Fast,1000000,1.0,90,0.0,1.6,40.8,15.9
165,Ledyba,Bug,"['Early Bird', 'Rattled', 'Swarm']",40,20,30,40,80,55,265,44.16666666666670,19.238993967692,2.0,Fast,800000,0.0,255,0.0,1.0,10.8,10.8
166,Ledian,Bug,"['Early Bird', 'Iron Fist', 'Swarm']",55,35,50,55,110,85,390,65.0,25.0,2.0,Fast,800000,1.0,90,0.0,1.4,35.6,18.2
167,Spinarak,Bug,"['Insomnia', 'Sniper', 'Swarm']",40,60,40,40,40,30,250,41.66666666666670,8.975274678557510,2.0,Fast,800000,0.0,255,0.0,0.5,8.5,34.0
168,Ariados,Bug,"['Insomnia', 'Sniper', 'Swarm']",70,90,70,60,70,40,400,66.66666666666670,14.907119849998600,2.0,Fast,800000,1.0,90,0.0,1.1,33.5,27.7
169,Crobat,Poison,"['Infiltrator', 'Inner Focus']",85,90,80,70,80,130,535,89.16666666666670,19.238993967692,2.0,Medium Fast,1000000,1.0,90,0.0,1.8,75.0,23.1
170,Chinchou,Water,"['Illuminate', 'Volt Absorb', 'Water Absorb']",75,38,38,56,56,67,330,55.0,13.686976778431900,2.0,Slow,1250000,0.0,190,0.0,0.5,12.0,48.0
171,Lanturn,Water,"['Illuminate', 'Volt Absorb', 'Water Absorb']",125,58,58,76,76,67,460,76.66666666666670,22.830291768223700,2.0,Slow,1250000,1.0,75,0.0,1.2,22.5,15.6
172,Pichu,Electric,"['Lightning Rod', 'Static']",20,40,15,35,35,60,205,34.166666666666700,14.55354099714420,2.0,Medium Fast,1000000,0.0,190,0.0,0.3,2.0,22.2
173,Cleffa,Fairy,"['Cute Charm', 'Friend Guard', 'Magic Guard']",50,25,28,45,55,15,218,36.333333333333300,14.510532573119300,2.0,Fast,800000,0.0,150,0.0,0.3,3.0,33.3
174,Igglybuff,Normal,"['Competitive', 'Cute Charm', 'Friend Guard']",90,30,15,40,20,15,210,35.0,26.140645235596900,2.0,Fast,800000,0.0,170,0.0,0.3,1.0,11.1
175,Togepi,Fairy,"['Hustle', 'Serene Grace', 'Super Luck']",35,20,65,40,65,20,245,40.833333333333300,18.57791400800660,2.0,Fast,800000,0.0,190,0.0,0.3,1.5,16.7
176,Togetic,Fairy,"['Hustle', 'Serene Grace', 'Super Luck']",55,40,85,80,105,40,405,67.5,24.28133714055580,2.0,Fast,800000,0.0,75,0.0,0.6,3.2,8.9
177,Natu,Psychic,"['Early Bird', 'Magic Bounce', 'Synchronize']",40,50,45,70,45,70,320,53.333333333333300,12.133516482134200,2.0,Medium Fast,1000000,0.0,190,0.0,0.2,2.0,50.0
178,Xatu,Psychic,"['Early Bird', 'Magic Bounce', 'Synchronize']",65,75,70,95,70,95,470,78.33333333333330,12.133516482134200,2.0,Medium Fast,1000000,1.0,75,0.0,1.5,15.0,6.7
179,Mareep,Electric,"['Plus', 'Static']",55,40,40,65,45,35,280,46.66666666666670,10.274023338281600,2.0,Medium Slow,1059860,0.0,235,0.0,0.6,7.8,21.7
180,Flaaffy,Electric,"['Plus', 'Static']",70,55,55,80,60,45,365,60.833333333333300,11.334558757279500,2.0,Medium Slow,1059860,0.0,120,0.0,0.8,13.3,20.8
181,Ampharos,Electric,"['Plus', 'Static']",90,75,85,115,90,55,510,85.0,18.027756377319900,2.0,Medium Slow,1059860,1.0,45,0.0,1.4,61.5,31.4
181,Mega Ampharos,Electric,['Mold Breaker'],90,95,105,165,110,45,610,101.66666666666700,35.31603350069520,6.0,Medium Slow,1059860,1.0,45,0.0,1.4,61.5,31.4
182,Bellossom,Grass,"['Chlorophyll', 'Healer']",75,80,95,90,100,50,490,81.66666666666670,16.499158227686100,2.0,Medium Slow,1059860,1.0,45,0.0,0.4,5.8,36.3
183,Marill,Water,"['Huge Power', 'Sap Sipper', 'Thick Fat']",70,20,50,20,50,40,250,41.66666666666670,17.716909687891100,2.0,Fast,800000,0.0,190,0.0,0.4,8.5,53.1
184,Azumarill,Water,"['Huge Power', 'Sap Sipper', 'Thick Fat']",100,50,80,60,80,50,420,70.0,18.257418583505500,2.0,Fast,800000,1.0,75,0.0,0.8,28.5,44.5
185,Sudowoodo,Rock,"['Rattled', 'Rock Head', 'Sturdy']",70,100,115,30,65,30,410,68.33333333333330,31.97221015541810,2.0,Medium Fast,1000000,1.0,65,0.0,1.2,38.0,26.4
186,Politoed,Water,"['Damp', 'Drizzle', 'Water Absorb']",90,75,75,90,100,70,500,83.33333333333330,10.671873729054700,2.0,Medium Slow,1059860,1.0,45,0.0,1.1,33.9,28.0
187,Hoppip,Grass,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",35,35,40,35,55,50,250,41.66666666666670,7.993052538854530,2.0,Medium Slow,1059860,0.0,255,0.0,0.4,0.5,3.1
188,Skiploom,Grass,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",55,45,50,45,65,80,340,56.66666666666670,12.47219128924650,2.0,Medium Slow,1059860,0.0,120,0.0,0.6,1.0,2.8
189,Jumpluff,Grass,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",75,55,70,55,95,110,460,76.66666666666670,20.13840995599100,2.0,Medium Slow,1059860,1.0,45,0.0,0.8,3.0,4.7
190,Aipom,Normal,"['Pickup', 'Run Away', 'Skill Link']",55,70,55,40,55,85,360,60.0,14.142135623731000,2.0,Fast,800000,0.0,45,0.0,0.8,11.5,18.0
191,Sunkern,Grass,"['Chlorophyll', 'Early Bird', 'Solar Power']",30,30,30,30,30,30,180,30.0,0.0,2.0,Medium Slow,1059860,0.0,235,0.0,0.3,1.8,20.0
192,Sunflora,Grass,"['Chlorophyll', 'Early Bird', 'Solar Power']",75,75,55,105,85,30,425,70.83333333333330,23.52599035582180,2.0,Medium Slow,1059860,1.0,120,0.0,0.8,8.5,13.3
193,Yanma,Bug,"['Frisk', 'Speed Boost']",65,65,45,75,45,95,390,65.0,17.320508075688800,2.0,Medium Fast,1000000,0.0,75,0.0,1.2,38.0,26.4
194,Wooper,Water,"['Damp', 'Unaware', 'Water Absorb']",55,45,45,25,25,15,210,35.0,14.142135623731000,2.0,Medium Fast,1000000,0.0,255,0.0,0.4,8.5,53.1
195,Quagsire,Water,"['Damp', 'Unaware', 'Water Absorb']",95,85,85,65,65,35,430,71.66666666666670,19.72026594366540,2.0,Medium Fast,1000000,1.0,90,0.0,1.4,75.0,38.3
196,Espeon,Psychic,"['Magic Bounce', 'Synchronize']",65,65,60,130,95,110,525,87.5,26.25991876098120,2.0,Medium Fast,1000000,1.0,45,0.0,0.9,26.5,32.7
197,Umbreon,Dark,"['Inner Focus', 'Synchronize']",95,65,110,60,130,65,525,87.5,26.25991876098120,2.0,Medium Fast,1000000,1.0,45,0.0,1.0,27.0,27.0
198,Murkrow,Dark,"['Insomnia', 'Prankster', 'Super Luck']",60,85,42,85,42,91,405,67.5,20.5,2.0,Medium Slow,1059860,0.0,30,0.0,0.5,2.1,8.4
199,Slowking,Water,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,80,100,110,30,490,81.66666666666670,25.92724864350670,2.0,Medium Fast,1000000,1.0,70,0.0,2.0,79.5,19.9
199,Galarian Slowking,Poison,"['Curious Medicine', 'Own Tempo', 'Regenerator']",95,65,80,110,110,30,490,81.66666666666670,28.08716591058790,8.0,Medium Fast,1000000,1.0,70,0.0,1.8,79.5,24.5
200,Misdreavus,Ghost,['Levitate'],60,60,60,85,85,85,435,72.5,12.5,2.0,Fast,800000,0.0,45,0.0,0.7,1.0,2.0
201,Unown,Psychic,['Levitate'],48,72,48,72,48,48,336,56.0,11.31370849898480,2.0,Medium Fast,1000000,1.0,225,0.0,0.5,5.0,20.0
202,Wobbuffet,Psychic,"['Shadow Tag', 'Telepathy']",190,33,58,33,58,33,405,67.5,55.9128786595718,2.0,Medium Fast,1000000,1.0,45,0.0,1.3,28.5,16.9
203,Girafarig,Normal,"['Early Bird', 'Inner Focus', 'Sap Sipper']",70,80,65,90,65,85,455,75.83333333333330,9.753916592266350,2.0,Medium Fast,1000000,1.0,60,0.0,1.5,41.5,18.4
204,Pineco,Bug,"['Overcoat', 'Sturdy']",50,65,90,35,35,15,290,48.333333333333300,24.09472049133490,2.0,Medium Fast,1000000,0.0,190,0.0,0.6,7.2,20.0
205,Forretress,Bug,"['Overcoat', 'Sturdy']",75,90,140,60,60,40,465,77.5,31.85252475602730,2.0,Medium Fast,1000000,1.0,75,0.0,1.2,125.8,87.4
206,Dunsparce,Normal,"['Rattled', 'Run Away', 'Serene Grace']",100,70,70,65,65,45,415,69.16666666666670,16.18040653245630,2.0,Medium Fast,1000000,1.0,190,0.0,1.5,14.0,6.2
207,Gligar,Ground,"['Hyper Cutter', 'Immunity', 'Sand Veil']",65,75,105,35,65,85,430,71.66666666666670,21.34374745810950,2.0,Medium Slow,1059860,0.0,60,0.0,1.1,64.8,53.6
208,Steelix,Steel,"['Rock Head', 'Sheer Force', 'Sturdy']",75,85,200,55,65,30,510,85.0,54.23713365090990,2.0,Medium Fast,1000000,1.0,25,0.0,9.2,400.0,4.7
208,Mega Steelix,Steel,['Sand Force'],75,125,230,55,95,30,610,101.66666666666700,64.65721580423610,6.0,Medium Fast,1000000,1.0,25,0.0,10.5,740.0,6.7
209,Snubbull,Fairy,"['Intimidate', 'Rattled', 'Run Away']",60,80,50,40,40,30,300,50.0,16.329931618554500,2.0,Fast,800000,0.0,190,0.0,0.6,7.8,21.7
210,Granbull,Fairy,"['Intimidate', 'Quick Feet', 'Rattled']",90,120,75,60,60,45,450,75.0,24.49489742783180,2.0,Fast,800000,1.0,75,0.0,1.4,48.7,24.8
211,Qwilfish,Water,"['Intimidate', 'Poison Point', 'Swift Swim']",65,95,85,55,55,85,440,73.33333333333330,15.723301886761000,2.0,Medium Fast,1000000,1.0,45,0.0,0.5,3.9,15.6
212,Scizor,Bug,"['Light Metal', 'Swarm', 'Technician']",70,130,100,55,80,65,500,83.33333333333330,25.110865288865600,2.0,Medium Fast,1000000,1.0,25,0.0,1.8,118.0,36.4
212,Mega Scizor,Bug,['Technician'],70,150,140,65,100,75,600,100.0,33.78855822118880,6.0,Medium Fast,1000000,1.0,25,0.0,2.0,125.0,31.3
213,Shuckle,Bug,"['Contrary', 'Gluttony', 'Sturdy']",20,10,230,10,230,5,505,84.16666666666670,103.21565880341100,2.0,Medium Slow,1059860,1.0,190,0.0,0.6,20.5,56.9
214,Heracross,Bug,"['Guts', 'Moxie', 'Swarm']",80,125,75,40,95,85,500,83.33333333333330,25.27625148017180,2.0,Slow,1250000,1.0,45,0.0,1.5,54.0,24.0
214,Mega Heracross,Bug,['Skill Link'],80,185,115,40,105,75,600,100.0,44.90731195102490,6.0,Slow,1250000,1.0,45,0.0,1.7,62.5,21.6
215,Sneasel,Dark,"['Inner Focus', 'Keen Eye', 'Pickpocket']",55,95,55,35,75,115,430,71.66666666666670,26.874192494328500,2.0,Medium Slow,1059860,0.0,60,0.0,0.9,28.0,34.6
216,Teddiursa,Normal,"['Honey Gather', 'Pickup', 'Quick Feet']",60,80,50,50,50,40,330,55.0,12.583057392117900,2.0,Medium Fast,1000000,0.0,120,0.0,0.6,8.8,24.4
217,Ursaring,Normal,"['Guts', 'Quick Feet', 'Unnerve']",90,130,75,75,75,55,500,83.33333333333330,23.21398046197350,2.0,Medium Fast,1000000,1.0,60,0.0,1.8,125.8,38.8
218,Slugma,Fire,"['Flame Body', 'Magma Armor', 'Weak Armor']",40,40,40,70,40,20,250,41.66666666666670,14.624940645653500,2.0,Medium Fast,1000000,0.0,190,0.0,0.7,35.0,71.4
219,Magcargo,Fire,"['Flame Body', 'Magma Armor', 'Weak Armor']",60,50,120,90,80,30,430,71.66666666666670,29.1070819942883,2.0,Medium Fast,1000000,1.0,75,0.0,0.8,55.0,85.9
220,Swinub,Ice,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,50,40,30,30,50,250,41.66666666666670,8.975274678557510,2.0,Slow,1250000,0.0,225,0.0,0.4,6.5,40.6
221,Piloswine,Ice,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,100,80,60,60,50,450,75.0,19.7905701450632,2.0,Slow,1250000,0.0,75,0.0,1.1,55.8,46.1
222,Corsola,Water,"['Hustle', 'Natural Cure', 'Regenerator']",65,55,95,65,95,35,410,68.33333333333330,21.34374745810950,2.0,Fast,800000,1.0,60,0.0,0.6,5.0,13.9
222,Galarian Corsola,Ghost,"['Cursed Body', 'Weak Armor']",60,55,100,65,100,30,410,68.33333333333330,24.94438257849290,8.0,Fast,800000,0.0,60,0.0,0.6,0.5,1.4
223,Remoraid,Water,"['Hustle', 'Moody', 'Sniper']",35,65,35,65,35,65,300,50.0,15.0,2.0,Medium Fast,1000000,0.0,190,0.0,0.6,12.0,33.3
224,Octillery,Water,"['Moody', 'Sniper', 'Suction Cups']",75,105,75,105,75,45,480,80.0,20.615528128088300,2.0,Medium Fast,1000000,1.0,75,0.0,0.9,28.5,35.2
225,Delibird,Ice,"['Hustle', 'Insomnia', 'Vital Spirit']",45,55,45,65,45,75,330,55.0,11.547005383792500,2.0,Fast,800000,1.0,45,0.0,0.9,16.0,19.8
226,Mantine,Water,"['Swift Swim', 'Water Absorb', 'Water Veil']",85,40,70,80,140,70,485,80.83333333333330,30.05781466145240,2.0,Slow,1250000,1.0,25,0.0,2.1,220.0,49.9
227,Skarmory,Steel,"['Keen Eye', 'Sturdy', 'Weak Armor']",65,80,140,40,70,70,465,77.5,30.516389039334300,2.0,Slow,1250000,1.0,25,0.0,1.7,50.5,17.5
228,Houndour,Dark,"['Early Bird', 'Flash Fire', 'Unnerve']",45,60,30,80,50,65,330,55.0,15.811388300841900,2.0,Slow,1250000,0.0,120,0.0,0.6,10.8,30.0
229,Houndoom,Dark,"['Early Bird', 'Flash Fire', 'Unnerve']",75,90,50,110,80,95,500,83.33333333333330,18.63389981249830,2.0,Slow,1250000,1.0,45,0.0,1.4,35.0,17.9
229,Mega Houndoom,Dark,['Solar Power'],75,90,90,140,90,115,600,100.0,21.40872096444190,6.0,Slow,1250000,1.0,45,0.0,1.9,49.5,13.7
